,date_comptage,comptage_h
0,2019-01-01,16494
1,2019-01-02,29655
2,2019-01-03,34463
3,2019-01-04,34933
4,2019-01-05,26668
5,2019-01-06,24881
6,2019-01-07,43401
7,2019-01-08,49366
8,2019-01-09,44580
9,2019-01-10,44070
10,2019-01-11,36358
11,2019-01-12,25040
12,2019-01-13,22863
13,2019-01-14,42409
14,2019-01-15,44975
15,2019-01-16,44349
16,2019-01-17,41666
17,2019-01-18,40449
18,2019-01-19,21480
19,2019-01-20,18158
20,2019-01-21,38223
21,2019-01-22,23957
22,2019-01-23,26778
23,2019-01-24,34309
24,2019-01-25,32859
25,2019-01-26,22835
26,2019-01-27,14138
27,2019-01-28,38556
28,2019-01-29,31637
29,2019-01-30,24272
30,2019-01-31,32154
31,2019-02-01,31882
32,2019-02-02,20462
33,2019-02-03,22585
34,2019-02-04,33562
35,2019-02-05,40661
36,2019-02-06,37089
37,2019-02-07,40828
38,2019-02-08,36407
39,2019-02-09,27387
40,2019-02-10,13004
41,2019-02-11,38770
42,2019-02-12,44325
43,2019-02-13,43681
44,2019-02-14,46362
45,2019-02-15,45663
46,2019-02-16,36933
47,2019-02-17,37624
48,2019-02-18,47447
49,2019-02-19,48608
50,2019-02-20,49005
51,2019-02-21,50661
52,2019-02-22,48703
53,2019-02-23,37506
54,2019-02-24,35997
55,2019-02-25,44006
56,2019-02-26,47928
57,2019-02-27,47674
58,2019-02-28,37789
59,2019-03-01,30427
60,2019-03-02,24148
61,2019-03-03,21681
62,2019-03-04,26953
63,2019-03-05,34024
64,2019-03-06,31835
65,2019-03-07,36286
66,2019-03-08,37958
67,2019-03-09,26277
68,2019-03-10,21971
69,2019-03-11,39188
70,2019-03-12,40011
71,2019-03-13,40687
72,2019-03-14,28065
73,2019-03-15,39305
74,2019-03-16,31749
75,2019-03-17,21735
76,2019-03-18,44879
77,2019-03-19,50247
78,2019-03-20,50063
79,2019-03-21,53534
80,2019-03-22,51402
81,2019-03-23,35260
82,2019-03-24,30014
83,2019-03-25,47190
84,2019-03-26,52349
85,2019-03-27,52053
86,2019-03-28,52140
87,2019-03-29,52409
88,2019-03-30,43263
89,2019-03-31,40702
90,2019-04-01,53189
91,2019-04-02,34708
92,2019-04-03,44695
93,2019-04-04,51263
94,2019-04-05,49212
95,2019-04-06,38921
96,2019-04-07,32419
97,2019-04-08,49724
98,2019-04-09,47933
99,2019-04-10,42362
100,2019-04-11,55067
101,2019-04-12,48559
102,2019-04-13,34551
103,2019-04-14,30410
104,2019-04-15,50105
105,2019-04-16,46196
106,2019-04-17,55503
107,2019-04-18,57267
108,2019-04-19,50657
109,2019-04-20,34106
