,date_comptage,nom_jour_ferie
0,2019-01-01 01:00:00+01:00,1er janvier
1,2019-04-22 02:00:00+02:00,Lundi de Pâques
2,2019-05-01 02:00:00+02:00,1er mai
3,2019-05-08 02:00:00+02:00,8 mai
4,2019-05-30 02:00:00+02:00,Ascension
5,2019-06-10 02:00:00+02:00,Lundi de Pentecôte
6,2019-07-14 02:00:00+02:00,14 juillet
7,2019-08-15 02:00:00+02:00,Assomption
8,2019-11-01 01:00:00+01:00,Toussaint
9,2019-11-11 01:00:00+01:00,11 novembre
10,2019-12-25 01:00:00+01:00,Jour de Noël
11,2020-01-01 01:00:00+01:00,1er janvier
12,2020-04-13 02:00:00+02:00,Lundi de Pâques
13,2020-05-01 02:00:00+02:00,1er mai
14,2020-05-08 02:00:00+02:00,8 mai
15,2020-05-21 02:00:00+02:00,Ascension
16,2020-06-01 02:00:00+02:00,Lundi de Pentecôte
17,2020-07-14 02:00:00+02:00,14 juillet
18,2020-08-15 02:00:00+02:00,Assomption
19,2020-11-01 01:00:00+01:00,Toussaint
20,2020-11-11 01:00:00+01:00,11 novembre
21,2020-12-25 01:00:00+01:00,Jour de Noël
22,2021-01-01 01:00:00+01:00,1er janvier
23,2021-04-05 02:00:00+02:00,Lundi de Pâques
24,2021-05-01 02:00:00+02:00,1er mai
25,2021-05-08 02:00:00+02:00,8 mai
26,2021-05-13 02:00:00+02:00,Ascension
27,2021-05-24 02:00:00+02:00,Lundi de Pentecôte
28,2021-07-14 02:00:00+02:00,14 juillet
29,2021-08-15 02:00:00+02:00,Assomption
30,2021-11-01 01:00:00+01:00,Toussaint
31,2021-11-11 01:00:00+01:00,11 novembre
32,2021-12-25 01:00:00+01:00,Jour de Noël
33,2022-01-01 01:00:00+01:00,1er janvier
34,2022-04-18 02:00:00+02:00,Lundi de Pâques
35,2022-05-01 02:00:00+02:00,1er mai
36,2022-05-08 02:00:00+02:00,8 mai
37,2022-05-26 02:00:00+02:00,Ascension
38,2022-06-06 02:00:00+02:00,Lundi de Pentecôte
39,2022-07-14 02:00:00+02:00,14 juillet
40,2022-08-15 02:00:00+02:00,Assomption
