,nom_site,comptage_h,id_site,latitude,longitude
0,10  avenue de la Grande Armée SE-NO,101512,100044494,48.874716,2.292439
1,10 Bd Auguste Blanqui NE-SO,232940,100049408,48.830901,2.353237
2,10 avenue de la Grande Armée,74863,100044494,48.8748,2.2924
3,10 avenue de la Grande Armée SE-NO,708688,100044494,48.874716,2.292439
4,10 boulevard Auguste Blanqui,100371,100049408,48.83082,2.35317
5,10 boulevard Auguste Blanqui NE-SO,1097915,100049408,48.83068,2.35348
6,100 Rue La Fayette O-E,386302,100003099,48.87746,2.35008
7,100 rue La Fayette,886784,100003099,48.87813,2.3497
8,102 Bd magenta SE-NO,905301,100047536,48.877726,2.354926
9,102 boulevard de Magenta,484344,100047536,48.87769,2.35475
10,102 boulevard de Magenta SE-NO,4787811,100047536,48.877726,2.354926
11,105 Rue La Fayette E-O,817188,100003097,48.877667,2.350556
12,105 rue La Fayette,96266,100003097,48.87773,2.3506
13,105 rue La Fayette E-O,1955571,100003097,48.87773,2.3506
14,106 Avenue Denfert Rochereau NE-SO,333937,100003098,48.835143,2.333031
15,106 avenue Denfert Rochereau,179320,100003098,48.83505,2.33333
16,106 avenue Denfert Rochereau NE-SO,1197962,100003098,48.83521,2.33307
17,129 Rue Lecourbe SO-NE,52064,100056040,48.842091,2.301
18,129 rue Lecourbe,110150,100056040,48.84222,2.30102
19,129 rue Lecourbe SO-NE,888549,100056040,48.842091,2.301
20,132 Rue Lecourbe NE-SO,81879,100056044,48.84216,2.30115
21,132 rue Lecourbe,109775,100056044,48.84209,2.30115
22,132 rue Lecourbe NE-SO,961572,100056044,48.84216,2.30115
23,135 Avenue Daumesnil SE-NO,381753,100006300,48.843435,2.383378
24,135 avenue Daumesnil,181801,100006300,48.843435,2.383378
25,135 avenue Daumesnil SE-NO,1265660,100006300,48.843435,2.383378
26,147 avenue d'Italie,126334,100056041,48.82009,2.3588
27,147 avenue d'Italie S-N,887890,100056041,48.82026,2.3592
28,152 Boulevard du Montparnasse,529614,100049407,48.840801,2.333233
29,152 boulevard du Montparnasse,1685105,100049407,48.84017,2.33438
30,16 Avenue de la Porte des Ternes E-O,95325,100047534,48.8818100845,2.28154603106
31,16 avenue de la Porte des Ternes,56505,100047534,48.88156,2.28122
32,16 avenue de la Porte des Ternes E-O,293655,100047534,48.88181,2.281546
33,18 quai de l'Hôtel de Ville,1498256,100036719,48.85372,2.35702
34,18 quai de l'hotel de ville,486016,100036719,48.85372,2.35702
35,180 Avenue d'Italie N-S,28805,100056039,48.82024,2.35902
36,180 avenue d'Italie,124680,100056039,48.82048,2.35873
37,180 avenue d'Italie N-S,881936,100056039,48.82024,2.35902
38,2 avenue de la Porte de Bagnolet O-E,105738,100056036,48.86451,2.40932
39,20 Avenue de Clichy,1868983,100063175,48.88529,2.32666
40,21 Boulevard Auguste Blanqui SO-NE,178407,100047539,48.830449,2.353199
41,21 boulevard Auguste Blanqui,42201,100047539,48.83043,2.35335
42,21 boulevard Auguste Blanqui SO-NE,747793,100047539,48.830449,2.353199
43,21 boulevard Saint Michel S-N,1582631,100060174,48.851525,2.343298
44,243 Boulevard Saint Germain NO-SE,410650,100050132,48.86179,2.32014
45,243 boulevard Saint Germain,160211,100050132,48.86179,2.32014
46,243 boulevard Saint Germain NO-SE,1459610,100050132,48.86179,2.32014
47,254 Rue de Vaugirard,34118,300014702,48.83977,2.30198
48,254 rue de Vaugirard,1927307,300014702,48.83985,2.30202
49,26 Boulevard de Ménilmontant SE-NO,751808,100047537,48.860622,2.388724
50,26 boulevard de Ménilmontant SE-NO,3209167,100047537,48.86057,2.38886
51,27 Boulevard Diderot E-O,323513,100041488,48.846099,2.375456
52,27 Quai de la Tournelle,144753,100056336,48.85013,2.35423
53,27 boulevard Diderot,158346,100041488,48.846099,2.375456
54,27 boulevard Diderot E-O,872382,100041488,48.846099,2.375456
55,27 quai de la Tournelle,4422684,100056336,48.85013,2.35423
56,28 Boulevard Diderot,348351,100007049,48.846028,2.375429
57,28 boulevard Diderot,856565,100007049,48.84613,2.37559
58,3 avenue de la Porte D'Orléans (gare routière),6435,100056225,48.82108,2.32537
59,3 avenue de la Porte D'Orléans (gare routière) S-N,32317,100056225,48.82108,2.32537
60,3 avenue de la Porte D'Orléans S-N,34640,100056225,48.82108,2.32537
61,30 rue Saint Jacques,336366,300021312,48.851131,2.345678
62,30 rue Saint Jacques N-S,1325848,100060175,48.851131,2.345678
63,30 rue Saint Jacques N-S,1325848,300021312,48.851131,2.345678
64,30 rue Saint Jacques N-S (temporaire),81542,100060175,48.851131,2.345678
65,33 avenue des Champs Elysées,263845,100056042,48.86999,2.30722
66,33 avenue des Champs Elysées NO-SE,1627482,100056042,48.869831,2.307076
67,35 Boulevard de Menilmontant NO-SE,733125,100047550,48.860528,2.388364
68,35 boulevard de Ménilmontant,1311466,100065336,48.860528,2.388364
69,35 boulevard de Ménilmontant NO-SE,334821,100047550,48.860528,2.388364
70,36 Quai de Grenelle,120343,100056330,48.85204,2.28589
71,36 quai de Grenelle,2923051,100056330,48.85174,2.28593
72,38 rue Turbigo,4099730,100056334,48.86502,2.35387
73,39 Quai François Mauriac,663405,100036718,48.8344028,2.376941
74,39 quai François Mauriac,2455553,100036718,48.83436,2.377
75,44 avenue des Champs Elysées,202652,100056038,48.86999,2.30743
76,44 avenue des Champs Elysées SE-NO,1219362,100056038,48.869873,2.307419
77,6 rue Julia Bartet,3043117,100047547,48.82624,2.30281
78,67 boulevard Voltaire,375608,100044493,48.86149,2.37376
79,67 boulevard Voltaire SE-NO,4759680,100044493,48.86149,2.37376
80,69 Boulevard Ornano,208486,300021320,48.89683,2.34521
81,69 Boulevard Ornano N-S,692450,100063174,48.89696,2.34538
82,69 Boulevard Ornano N-S,692450,300021320,48.89683,2.34521
